Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HR,AR,B365H,B365D,B365A,B365>2.5,B365<2.5,AHh,B365AHH,B365AHA,B365CH,B365CD,B365CA,B365C>2.5,B365C<2.5,AHCh,B365CAHH,B365CAHA
E1,3/8/2019,Stoke,QPR,1,2,A,0,1,A,13,5,1,3,7,0,0,0,1.8,3.6,5.25,2,1.8,-0.75,2.07,1.83,1.8,3.6,5.25,2.3,1.61,-0.75,2.06,1.84
E1,3/8/2019,Swansea,Hull,2,1,H,0,1,A,19,12,8,4,10,4,0,0,2.05,3.5,4,1.9,1.9,-0.5,2.05,1.85,1.85,3.9,4.33,1.72,2.1,-0.5,1.87,2.03
E1,3/8/2019,Wigan,Cardiff,3,2,H,0,1,A,12,13,4,4,6,6,0,0,3.1,3.3,2.5,2.1,1.72,0.25,1.75,2.05,3,3.4,2.5,2.1,1.72,0.25,1.8,2.1
E1,3/8/2019,Nott'm Forest,West Brom,1,2,A,1,2,A,15,12,4,3,9,5,0,0,2.5,3.4,3,1.9,1.9,-0.25,2.11,1.79,2.5,3.3,3.1,2,1.8,-0.25,2.13,1.78
E2,3/8/2019,AFC Wimbledon,Rotherham,1,2,A,0,1,A,11,14,1,8,4,4,0,0,2.6,3.4,2.87,2.15,1.66,0,1.88,1.98,3.4,3.4,2.3,2.07,1.72,0.25,1.88,1.98
E2,3/8/2019,Blackpool,Bristol Rvs,2,0,H,1,0,H,14,16,4,1,6,7,0,0,2,3.5,4.2,2.2,1.65,-0.5,2.02,1.83,2.05,3.5,4,2.2,1.65,-0.5,2.02,1.83
E2,3/8/2019,Burton,Ipswich,0,1,A,0,1,A,9,10,2,4,7,8,1,0,2.8,3.5,2.6,2.1,1.7,0,2,1.85,2.1,3.4,4,2.15,1.66,-0.25,1.75,2.13
E2,3/8/2019,Coventry,Southend,1,0,H,0,0,D,7,4,2,1,5,5,0,0,2.2,3.6,3.4,1.95,1.85,-0.25,1.85,1.95,2,3.6,4,1.95,1.85,-0.25,1.85,1.95
E2,3/8/2019,Doncaster,Gillingham,1,1,D,1,1,D,12,8,3,4,6,4,0,0,1.9,3.75,4.33,1.8,2,-0.5,1.98,1.88,1.9,3.75,4.33,1.85,1.95,-0.5,1.93,1.93
E2,3/8/2019,Lincoln,Accrington,2,0,H,1,0,H,14,12,6,3,9,8,0,0,1.95,3.75,4,2,1.8,-0.5,1.88,1.98,1.85,3.8,4.5,2.05,1.75,-0.5,1.88,1.98
E2,3/8/2019,Peterboro,Fleetwood Town,1,3,A,0,2,A,10,7,3,4,4,2,0,0,2.1,3.5,3.75,1.95,1.85,-0.5,2.05,1.8,2.37,3.3,3.3,2.2,1.65,-0.25,1.98,1.88
E2,3/8/2019,Shrewsbury,Portsmouth,1,0,H,0,0,D,3,15,1,3,1,10,0,1,3.75,3.8,2,2.1,1.7,0.5,1.83,2.02,3.2,3.3,2.45,2.15,1.66,0.25,1.8,2.05
E2,3/8/2019,Sunderland,Oxford,1,1,D,0,1,A,9,6,3,2,6,4,0,0,1.57,4,7,1.85,1.95,-1,2.02,1.83,1.95,3.5,4.5,2,1.8,-0.5,1.93,1.93
E2,3/8/2019,Tranmere,Rochdale,2,3,A,0,1,A,20,8,6,3,2,2,1,0,2.2,3.5,3.5,2,1.8,-0.25,1.88,1.98,2.2,3.5,3.5,1.95,1.85,-0.25,1.9,1.95
E2,3/8/2019,Wycombe,Bolton,2,0,H,0,0,D,25,3,10,0,6,0,0,0,1.28,5.75,13,1.75,2.05,-1.5,1.85,2,1.2,7,19,1.65,2.2,-2,1.85,2
E3,3/8/2019,Salford,Stevenage,2,0,H,1,0,H,16,6,5,2,3,7,0,0,1.9,3.6,4.5,2,1.8,-0.5,1.85,2,1.95,3.6,4.2,2.05,1.75,-0.5,1.95,1.9
E3,3/8/2019,Bradford,Cambridge,0,0,D,0,0,D,22,7,3,2,5,1,0,1,1.9,3.6,4.5,2,1.8,-0.5,1.83,2.02,1.75,4,4.8,2,1.8,-0.75,1.95,1.85
E3,3/8/2019,Carlisle,Crawley Town,2,1,H,2,1,H,14,20,7,4,2,11,0,1,2.1,3.6,3.75,2.05,1.75,-0.5,2.1,1.77,2.1,3.6,3.75,2,1.8,-0.5,2.13,1.75
E3,3/8/2019,Colchester,Port Vale,1,1,D,1,1,D,10,10,4,1,3,1,0,0,2.25,3.6,3.25,2.05,1.75,-0.25,1.93,1.93,2.15,3.6,3.5,2.5,1.5,-0.25,1.83,2.02
E3,3/8/2019,Crewe,Plymouth,0,3,A,0,2,A,16,13,9,9,11,3,0,0,3,3.4,2.5,2.05,1.75,0,2.05,1.8,2.45,3.5,3,1.85,1.95,0,1.75,2.13
E3,3/8/2019,Exeter,Macclesfield,1,0,H,0,0,D,8,17,2,4,7,6,0,0,1.95,3.6,4.2,2.07,1.72,-0.5,1.98,1.88,1.8,3.8,4.75,2.05,1.75,-0.5,1.8,2.05
E3,3/8/2019,Forest Green,Oldham,1,0,H,0,0,D,10,6,3,0,3,0,0,0,2.05,3.6,3.8,2.05,1.75,-0.25,1.77,2.1,2.2,3.6,3.4,2,1.8,-0.25,1.93,1.93
E3,3/8/2019,Leyton Orient,Cheltenham,1,0,H,0,0,D,12,2,5,0,5,3,0,2,2.1,3.6,3.75,2,1.8,-0.25,1.8,2.05,2.2,3.4,3.6,2.05,1.75,-0.25,1.88,1.98
E3,3/8/2019,Morecambe,Grimsby,0,2,A,0,0,D,8,10,0,5,1,6,0,0,2.5,3.75,2.8,2.07,1.72,0,1.8,2.05,2.4,3.75,2.9,2.35,1.57,-0.25,2.02,1.77
E3,3/8/2019,Newport County,Mansfield,2,2,D,2,0,H,13,8,4,3,6,4,0,1,2.4,3.6,3,2.07,1.72,-0.25,2.02,1.77,2.55,3.5,2.87,2.15,1.66,0,1.83,2.02
E3,3/8/2019,Northampton,Walsall,0,1,A,0,1,A,13,10,3,3,5,4,0,0,2.4,3.6,3,2.05,1.75,-0.25,2.1,1.77,2.3,3.6,3.2,2.05,1.75,-0.25,2,1.85
E3,3/8/2019,Scunthorpe,Swindon,0,2,A,0,0,D,13,10,4,5,4,6,0,0,2.1,3.75,3.6,2,1.8,-0.5,2.1,1.77,2.2,3.6,3.4,2,1.8,-0.25,1.77,2.02
EC,3/8/2019,Stockport,Maidenhead,0,1,A,0,0,D,,,,,,,0,0,1.9,3.4,4,2.05,1.75,-0.5,1.98,1.83,1.9,3.4,4,2.05,1.75,-0.5,1.9,1.9
EC,3/8/2019,Aldershot,Fylde,1,2,A,0,1,A,,,,,,,0,0,3.4,3.5,2.05,2.25,1.61,0.5,1.8,2,4,3.6,1.85,2.07,1.72,0.5,1.9,1.9
EC,3/8/2019,Barnet,Yeovil,1,0,H,0,0,D,,,,,,,0,0,2.25,3.3,3.1,2.3,1.6,-0.25,1.98,1.83,2.2,3.3,3.25,2.25,1.61,-0.25,1.93,1.88
EC,3/8/2019,Chesterfield,Dover Athletic,1,2,A,0,0,D,,,,,,,0,0,1.9,3.4,4,2.1,1.7,-0.5,1.98,1.83,1.85,3.4,4.33,2,1.8,-0.5,1.88,1.93
EC,3/8/2019,Chorley,Bromley,0,0,D,0,0,D,,,,,,,0,0,2.5,3.4,2.62,2,1.8,0,1.77,2.02,2.4,3.4,2.75,1.8,2,0,1.8,2
EC,3/8/2019,Dag and Red,Woking,0,2,A,0,1,A,,,,,,,0,0,1.9,3.5,3.75,2.15,1.66,-0.5,1.98,1.83,2.05,3.4,3.4,2.15,1.66,-0.25,1.85,1.95
EC,3/8/2019,Eastleigh,Notts County,1,0,H,1,0,H,,,,,,,0,2,2.45,3.25,2.8,2.2,1.65,0,1.8,2,2.3,3.3,3.1,2.1,1.7,-0.25,2.05,1.75
EC,3/8/2019,Ebbsfleet,Halifax,1,4,A,1,1,D,,,,,,,1,0,2,3.3,3.8,2.25,1.61,-0.25,1.75,2.05,1.75,3.5,4.5,2.1,1.7,-0.5,1.8,2
EC,3/8/2019,Harrogate,Solihull,2,2,D,0,1,A,,,,,,,0,0,2.37,3.2,2.75,2,1.8,-0.25,2.08,1.73,2.5,3.2,2.62,2,1.8,0,1.9,1.9
EC,3/8/2019,Hartlepool,Sutton,1,3,A,1,2,A,,,,,,,0,0,2.1,3.3,3.4,2.25,1.61,-0.25,1.83,1.98,2.05,3.3,3.6,2.07,1.72,-0.25,1.8,2
EC,3/8/2019,Torquay,Boreham Wood,2,1,H,0,0,D,,,,,,,0,1,1.83,3.5,4.2,2,1.8,-0.5,1.88,1.93,1.85,3.5,4.2,2,1.8,-0.5,1.83,1.98
EC,3/8/2019,Wrexham,Barrow,2,1,H,0,1,A,,,,,,,0,0,1.75,3.5,4.5,2.25,1.61,-0.5,1.83,1.98,2,3.3,3.75,2.25,1.61,-0.5,2.02,1.77
SC0,3/8/2019,Celtic,St Johnstone,7,0,H,3,0,H,24,2,11,0,8,0,0,0,1.16,6.5,19,1.66,2.2,-2,1.98,1.88,1.16,6.5,19,1.61,2.3,-2,1.83,2.02
SC0,3/8/2019,Hibernian,St Mirren,1,0,H,0,0,D,13,14,5,5,4,5,0,0,1.44,4,8,2,1.8,-1,1.85,2,1.44,4,8,2,1.8,-1,1.8,2.05
SC0,3/8/2019,Livingston,Motherwell,0,0,D,0,0,D,9,10,5,5,5,10,0,0,2.62,3.1,2.75,2.5,1.53,0,1.93,1.93,2.5,3.1,2.9,2.3,1.61,0,1.77,2.1
SC0,3/8/2019,Ross County,Hamilton,3,0,H,2,0,H,12,9,6,5,9,6,0,0,1.9,3.1,4.5,2.2,1.66,-0.5,1.9,1.95,1.6,4,5.75,1.8,2,-1,2.02,1.83
SC1,3/8/2019,Alloa,Partick,1,1,D,1,0,H,10,12,5,7,8,10,0,0,3.75,3.5,1.95,1.95,1.85,0.5,1.9,1.95,4.2,3.6,1.85,1.95,1.85,0.5,1.93,1.93
