Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Mexico,Liga MX,2021/2022,29/8/2021,1:00,U.A.N.L.- Tigres,Atlas,1,1,D,2.6,3.03,3.19,2.64,3.12,3.19,2.48,2.96,3.06
Mexico,Liga MX,2021/2022,29/8/2021,3:00,Club Leon,Club America,1,1,D,2.6,3.28,2.96,2.6,3.58,2.96,2.47,3.26,2.81
Mexico,Liga MX,2021/2022,29/8/2021,18:00,Toluca,U.N.A.M.- Pumas,2,1,H,1.83,3.8,4.52,1.85,3.88,4.75,1.78,3.65,4.32
Mexico,Liga MX,2021/2022,30/8/2021,0:00,Santos Laguna,Juarez,2,0,H,1.5,4.51,6.99,1.51,4.51,8,1.45,4.34,6.75
Mexico,Liga MX,2021/2022,30/8/2021,2:00,Cruz Azul,Pachuca,1,1,D,2.4,3.11,3.44,2.45,3.35,3.94,2.35,3.06,3.17
Mexico,Liga MX,2021/2022,11/9/2021,1:00,Puebla,Atl. San Luis,2,2,D,2.64,3.15,3.03,2.64,3.22,3.78,2.49,3.05,2.96
Mexico,Liga MX,2021/2022,11/9/2021,3:00,Juarez,Cruz Azul,2,1,H,3.22,3.02,2.6,4.35,3.36,2.64,3.17,2.9,2.46
Mexico,Liga MX,2021/2022,11/9/2021,3:06,Club Tijuana,Santos Laguna,2,1,H,2.28,3.45,3.34,3.02,3.5,3.4,2.29,3.32,3.04
Mexico,Liga MX,2021/2022,11/9/2021,23:00,Atlas,Monterrey,2,1,H,1.94,3.45,4.42,2.92,3.45,4.55,1.99,3.21,4.06
Mexico,Liga MX,2021/2022,12/9/2021,1:00,U.A.N.L.- Tigres,Club Leon,2,2,D,2.19,3.51,3.49,2.23,3.62,3.5,2.13,3.39,3.28
Mexico,Liga MX,2021/2022,12/9/2021,3:00,Club America,Mazatlan FC,2,0,H,1.56,3.98,7.31,1.56,4.68,8,1.5,3.96,6.73
Mexico,Liga MX,2021/2022,12/9/2021,23:00,U.N.A.M.- Pumas,Guadalajara Chivas,0,0,D,4.13,3.13,2.14,4.15,3.29,2.2,3.79,3.07,2.09
Mexico,Liga MX,2021/2022,13/9/2021,1:00,Queretaro,Necaxa,3,0,H,3,3.01,2.77,3,3.1,2.83,2.84,2.92,2.67
Mexico,Liga MX,2021/2022,14/9/2021,3:00,Pachuca,Toluca,1,2,A,1.89,3.62,4.45,1.95,3.71,4.47,1.85,3.51,4.15
Mexico,Liga MX,2021/2022,17/9/2021,1:00,Atl. San Luis,Club Tijuana,4,1,H,2.18,3.14,3.99,2.18,3.35,3.99,2.1,3.12,3.69
Mexico,Liga MX,2021/2022,18/9/2021,3:00,Necaxa,Atlas,0,3,A,3.21,2.93,2.67,3.21,3.07,2.67,3.04,2.86,2.55
Mexico,Liga MX,2021/2022,18/9/2021,23:00,Club Leon,Juarez,0,1,A,1.45,4.6,7.91,1.46,5,8.26,1.4,4.57,7.56
Mexico,Liga MX,2021/2022,19/9/2021,1:00,Toluca,Club America,3,1,H,3.54,3.52,2.17,3.6,3.53,2.41,3.3,3.31,2.16
Mexico,Liga MX,2021/2022,19/9/2021,3:00,Guadalajara Chivas,Pachuca,1,0,H,3.07,3,2.71,3.07,3.09,3.01,2.87,2.91,2.67
Mexico,Liga MX,2021/2022,19/9/2021,3:00,Mazatlan FC,U.N.A.M.- Pumas,2,2,D,2.06,3.26,4.21,2.18,3.28,4.33,2.02,3.13,3.96
Mexico,Liga MX,2021/2022,20/9/2021,1:00,Cruz Azul,Queretaro,2,0,H,1.59,3.91,6.79,1.62,3.94,7,1.57,3.75,6.18
Mexico,Liga MX,2021/2022,20/9/2021,1:06,Monterrey,U.A.N.L.- Tigres,2,0,H,2.31,3.11,3.67,2.33,3.25,3.67,2.22,3.09,3.38
Mexico,Liga MX,2021/2022,20/9/2021,3:06,Santos Laguna,Puebla,1,1,D,1.6,4.31,5.8,1.69,4.33,5.86,1.58,3.99,5.44
Mexico,Liga MX,2021/2022,22/9/2021,3:00,Juarez,Atl. San Luis,1,0,H,3.31,3.05,2.51,3.32,3.19,2.72,3.1,2.96,2.45
Mexico,Liga MX,2021/2022,23/9/2021,1:06,Monterrey,Toluca,2,0,H,1.5,4.52,7.01,1.65,4.67,7.12,1.48,4.3,6.25
Mexico,Liga MX,2021/2022,24/9/2021,3:00,Pachuca,Necaxa,1,0,H,1.76,3.54,5.55,1.87,3.63,5.58,1.72,3.43,5.13
Mexico,Liga MX,2021/2022,25/9/2021,2:00,Puebla,Cruz Azul,1,1,D,3.71,3.05,2.32,3.76,3.2,2.34,3.47,3,2.24
Mexico,Liga MX,2021/2022,25/9/2021,3:06,Club Tijuana,Mazatlan FC,0,0,D,1.64,4.03,5.76,1.74,4.03,6.04,1.65,3.75,5.11
Mexico,Liga MX,2021/2022,25/9/2021,23:00,Atlas,Club Leon,2,0,H,2.41,3.22,3.3,2.42,3.39,3.5,2.29,3.18,3.15
Mexico,Liga MX,2021/2022,26/9/2021,1:00,U.A.N.L.- Tigres,U.N.A.M.- Pumas,0,0,D,1.43,4.68,8.25,1.45,5,9.2,1.41,4.47,7.49
Mexico,Liga MX,2021/2022,26/9/2021,3:00,Club America,Guadalajara Chivas,0,0,D,1.66,3.72,6.3,1.71,3.76,6.55,1.64,3.5,5.8
Mexico,Liga MX,2021/2022,26/9/2021,18:00,Toluca,Atl. San Luis,1,2,A,2.25,3.41,3.45,2.27,3.62,3.49,2.18,3.35,3.21
Mexico,Liga MX,2021/2022,27/9/2021,1:06,Santos Laguna,Monterrey,1,2,A,3.03,3.15,2.64,3.03,3.36,2.66,2.84,3.09,2.55
Mexico,Liga MX,2021/2022,28/9/2021,23:00,Necaxa,Club Tijuana,3,0,H,1.94,3.48,4.42,1.97,3.54,4.43,1.9,3.37,4.08
Mexico,Liga MX,2021/2022,29/9/2021,1:00,Mazatlan FC,Juarez,3,1,H,2.46,3.02,3.45,2.5,3.1,3.46,2.39,2.94,3.22
Mexico,Liga MX,2021/2022,29/9/2021,3:00,Atlas,Puebla,0,1,A,1.7,3.55,6.12,1.75,3.58,6.2,1.66,3.45,5.64
Mexico,Liga MX,2021/2022,29/9/2021,3:05,Pachuca,Club America,1,1,D,3.07,3.18,2.58,3.07,3.28,2.7,2.89,3.06,2.52
Mexico,Liga MX,2021/2022,29/9/2021,23:00,Atl. San Luis,U.A.N.L.- Tigres,0,3,A,2.51,3.3,3.07,2.52,3.45,3.2,2.4,3.18,2.97
Mexico,Liga MX,2021/2022,30/9/2021,3:15,Queretaro,Guadalajara Chivas,1,0,H,3.44,3.22,2.35,3.5,3.22,2.4,3.26,3.06,2.3
