Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Argentina,Liga Profesional,2023,20/3/2023,21:30,Newells Old Boys,San Lorenzo,1,0,H,2.67,2.81,3.3,2.7,2.98,3.47,2.55,2.78,3.19
Argentina,Liga Profesional,2023,21/3/2023,0:00,Huracan,Rosario Central,0,2,A,1.75,3.34,6.05,1.8,3.4,6.52,1.73,3.27,5.58
Argentina,Liga Profesional,2023,21/3/2023,0:00,Lanus,Argentinos Jrs,0,0,D,3.17,2.91,2.67,3.2,3.1,2.83,2.99,2.89,2.6
Argentina,Liga Profesional,2023,22/3/2023,0:00,Velez Sarsfield,Central Cordoba,4,0,H,1.83,3.27,5.59,1.87,3.44,5.59,1.8,3.22,5.02
Argentina,Liga Profesional,2023,31/3/2023,0:00,Defensa y Justicia,Velez Sarsfield,0,0,D,2.7,2.99,3.04,2.75,3.17,3.13,2.61,2.99,2.89
Argentina,Liga Profesional,2023,31/3/2023,1:30,Argentinos Jrs,Godoy Cruz,3,0,H,1.65,3.6,6.5,1.8,3.8,6.75,1.61,3.55,6.16
Argentina,Liga Profesional,2023,31/3/2023,23:00,Estudiantes L.P.,Newells Old Boys,3,0,H,2.47,2.96,3.44,2.48,3.1,3.53,2.36,2.96,3.3
Argentina,Liga Profesional,2023,31/3/2023,23:00,Rosario Central,Gimnasia L.P.,3,1,H,2.27,3.15,3.63,2.34,3.2,3.72,2.24,3.04,3.47
Argentina,Liga Profesional,2023,1/4/2023,1:30,River Plate,Union de Santa Fe,1,0,H,1.4,4.73,9.71,1.44,4.9,9.71,1.38,4.58,8.37
Argentina,Liga Profesional,2023,1/4/2023,19:30,Barracas Central,Boca Juniors,0,3,A,4.34,3.34,1.98,4.57,3.42,2.05,4.05,3.24,1.97
Argentina,Liga Profesional,2023,1/4/2023,23:00,San Lorenzo,Independiente,0,0,D,2.31,2.82,4.05,2.31,3.05,4.34,2.22,2.84,3.82
Argentina,Liga Profesional,2023,1/4/2023,23:30,Racing Club,Huracan,2,1,H,2.22,3.16,3.73,2.25,3.4,3.75,2.17,3.1,3.55
Argentina,Liga Profesional,2023,2/4/2023,1:30,Tigre,Lanus,2,1,H,2.3,3.27,3.43,2.34,3.45,3.5,2.23,3.22,3.27
Argentina,Liga Profesional,2023,2/4/2023,20:30,Instituto,Talleres Cordoba,0,3,A,3.08,3.06,2.62,3.08,3.2,2.7,2.95,3,2.55
Argentina,Liga Profesional,2023,2/4/2023,23:00,Colon Santa Fe,Atl. Tucuman,0,0,D,2.51,3.09,3.21,2.52,3.26,3.37,2.42,3.08,3.06
