Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,prediction,Hit?,odds,B365H,B365D,B365A,AHCh,AHh,AHCh_res,AHCh_odds,B365CAHH,B365CAHA,win%,AHCh_win
SC0,8/11/2020,Rangers,Hamilton,8,0,Rangers,Rangers,1,0.10000000000000009,1.1,9.0,21.0,-3.0,-2.5,Rangers,0.8300000000000001,1.83,2.02,0.7165265580748315,-3.0
D1,8/11/2020,Wolfsburg,Hoffenheim,2,1,Wolfsburg,Wolfsburg,1,1.1,2.1,3.6,3.25,-0.25,-0.25,Wolfsburg,0.42500000000000004,1.85,2.05,0.438893234950139,-0.25
D1,8/11/2020,Leverkusen,M'gladbach,4,3,Leverkusen,Leverkusen,1,1.2000000000000002,2.2,3.5,3.0,0.0,-0.25,Leverkusen,1.08,2.08,1.82,0.45462238539794747,0.0
D2,8/11/2020,Darmstadt,Paderborn,0,4,Paderborn,Darmstadt,0,-1,2.2,3.4,3.1,-0.25,-0.25,Paderborn,-1,1.95,1.9,0.4059945063704252,-0.25
D2,8/11/2020,Regensburg,Osnabruck,2,4,Osnabruck,Regensburg,0,-1,2.2,3.25,3.4,0.0,-0.25,Osnabruck,-1,1.9,1.95,0.40859342901851825,0.0
D2,8/11/2020,St Pauli,Karlsruhe,0,3,Karlsruhe,St Pauli,0,-1,1,1,1,0.0,0.0,Karlsruhe,-1,1.77,2.1,0.45149082510303834,0.0
SP1,8/11/2020,Getafe,Villarreal,1,3,Villarreal,Getafe,0,-1,2.5,3.1,3.0,0.25,0.0,Villarreal,-1,1.95,1.95,0.39299659033258505,0.25
SP1,8/11/2020,Sociedad,Granada,2,0,Sociedad,Sociedad,1,0.6499999999999999,1.65,3.8,5.25,-2.0,-0.75,Draw,0,1.84,2.06,0.49445015790715524,-2.0
SP1,8/11/2020,Levante,Alaves,1,1,Draw,Levante,0,-1,2.15,3.4,3.4,-0.25,-0.25,Alaves,-0.5,1.83,2.07,0.40137327629518676,-0.25
SP1,8/11/2020,Valladolid,Ath Bilbao,2,1,Valladolid,Ath Bilbao,0,-1,3.3,2.9,2.37,0.25,0.25,Valladolid,-1,1.99,1.91,0.3559756454721989,-0.25
SP1,8/11/2020,Valencia,Real Madrid,4,1,Valencia,Real Madrid,0,-1,6.0,4.75,1.45,1.25,1.25,Valencia,-1,2.0,1.9,0.4027443445182077,-1.25
SP2,8/11/2020,Sabadell,Malaga,1,2,Malaga,Sabadell,0,-1,2.75,2.75,3.0,-0.25,0.0,Malaga,-1,1.9,1.95,0.4188733077553941,-0.25
SP2,8/11/2020,Alcorcon,Fuenlabrada,0,3,Fuenlabrada,Alcorcon,0,-1,2.62,2.9,2.9,0.0,0.0,Fuenlabrada,-1,2.15,1.68,0.36312159746363154,0.0
SP2,8/11/2020,Vallecano,Almeria,0,1,Almeria,Vallecano,0,-1,2.0,3.0,4.33,-0.25,-0.5,Almeria,-1,1.75,2.05,0.4001895183291872,-0.25
SP2,8/11/2020,Mallorca,Ponferradina,3,0,Mallorca,Mallorca,1,0.75,1.75,3.3,5.25,-0.75,-0.5,Mallorca,1.0,2.0,1.85,0.4730546813485395,-0.75
SP2,8/11/2020,Oviedo,Castellon,4,0,Oviedo,Oviedo,1,1.1,2.1,2.9,4.0,-0.25,-0.25,Oviedo,0.73,1.73,2.08,0.42518569205273243,-0.25
SP2,8/11/2020,Tenerife,Zaragoza,1,0,Tenerife,Tenerife,1,1.2000000000000002,2.2,3.0,3.6,-0.25,-0.25,Tenerife,0.31499999999999995,1.63,2.25,0.40896699160386574,-0.25
I1,8/11/2020,Lazio,Juventus,1,1,Draw,Juventus,0,-1,3.5,3.75,1.95,0.5,0.5,Lazio,-1,1.96,1.94,0.3762725687328712,-0.5
I1,8/11/2020,Atalanta,Inter,1,1,Draw,Atalanta,0,-1,2.6,3.9,2.35,0.25,0.25,Atalanta,0.41000000000000003,1.82,2.08,0.4185973443098002,0.25
I1,8/11/2020,Genoa,Roma,1,3,Roma,Roma,1,0.53,5.75,4.2,1.53,1.0,1.0,Roma,1.0299999999999998,1.87,2.03,0.3933437192396961,-1.0
I1,8/11/2020,Torino,Crotone,0,0,Draw,Torino,0,-1,1.95,3.75,3.6,-0.5,-0.5,Crotone,-1,1.83,2.07,0.5111348974362829,-0.5
I1,8/11/2020,Bologna,Napoli,0,1,Napoli,Napoli,1,0.6499999999999999,4.75,4.2,1.65,0.75,0.75,Napoli,0.43999999999999995,2.02,1.88,0.3931294096172825,-0.75
I1,8/11/2020,Milan,Verona,2,2,Draw,Milan,0,-1,1.45,4.5,6.5,-1.5,-1.25,Verona,-1,1.98,1.92,0.47003274059573363,-1.5
I2,8/11/2020,Pescara,Cittadella,3,1,Pescara,Cittadella,0,-1,3.1,3.0,2.45,0.25,0.25,Pescara,-1,2.02,1.77,0.4564324235215031,-0.25
I2,8/11/2020,Reggiana,Venezia,2,1,Reggiana,Venezia,0,-1,3.5,3.3,2.1,0.25,0.25,Reggiana,-1,1.98,1.88,0.3644889067555365,-0.25
I2,8/11/2020,Virtus Entella,Lecce,1,5,Lecce,Virtus Entella,0,-1,2.9,3.0,2.6,0.5,0.0,Lecce,-1,1.83,2.02,0.3903277596756727,0.5
F1,8/11/2020,Brest,Lille,3,2,Brest,Lille,0,-1,3.75,3.5,1.95,0.75,0.5,Brest,-1,1.92,2.01,0.4760712986963446,-0.75
F1,8/11/2020,Lens,Reims,4,4,Draw,Lens,0,-1,2.1,3.4,3.6,-0.25,-0.25,Reims,-0.5,1.88,2.05,0.4566673656822362,-0.25
F1,8/11/2020,Lorient,Nantes,0,2,Nantes,Lorient,0,-1,2.37,3.2,3.1,0.0,-0.25,Nantes,-1,2.03,1.9,0.42943243224703065,0.0
F1,8/11/2020,Metz,Dijon,1,1,Draw,Metz,0,-1,1.75,3.6,4.75,-0.25,-0.75,Dijon,-0.5,1.82,2.11,0.5651130072336021,-0.25
F1,8/11/2020,Nimes,Angers,1,5,Angers,Nimes,0,-1,3.1,3.2,2.3,0.0,0.25,Angers,-1,2.08,1.85,0.4366166087528679,0.0
F1,8/11/2020,Nice,Monaco,1,2,Monaco,Nice,0,-1,3.2,3.6,2.15,0.5,0.25,Monaco,-1,1.91,2.02,0.4579240405274046,0.5
F1,8/11/2020,Lyon,St Etienne,2,1,Lyon,Lyon,1,0.3999999999999999,1.4,4.75,7.5,-1.75,-1.5,St Etienne,-0.5,2.05,1.75,0.5133864244230021,-1.75
B1,8/11/2020,Antwerp,Standard,1,1,Draw,Antwerp,0,-1,2.25,3.3,3.1,-0.25,-0.25,Standard,-0.5,1.73,2.08,0.4029237115859785,-0.25
B1,8/11/2020,Oostende,Club Brugge,1,3,Club Brugge,Oostende,0,-1,4.33,4.0,1.7,1.0,0.75,Club Brugge,-1,1.95,1.9,0.383603608274041,1.0
B1,8/11/2020,Gent,Anderlecht,1,1,Draw,Gent,0,-1,2.25,3.5,2.9,0.0,-0.25,Draw,0,1.83,2.02,0.38878764202092053,0.0
B1,8/11/2020,Cercle Brugge,Waregem,1,3,Waregem,Cercle Brugge,0,-1,1.9,3.75,3.6,-0.5,-0.5,Waregem,-1,1.85,2.0,0.5271091392771677,-0.5
N1,8/11/2020,Utrecht,Ajax,0,3,Ajax,Ajax,1,0.7,4.5,4.0,1.7,1.0,0.75,Ajax,1.0,1.9,2.0,0.40824012434999146,-1.0
