Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,prediction,Hit?,odds,B365H,B365D,B365A,AHCh,AHCh_res,AHCh_odds,B365CAHH,B365CAHA,win%,AHCh_win
SP2,2/10/2021,Alcorcon,Sociedad B,1,4,Sociedad B,Sociedad B,1,2.6,2.25,3.0,3.6,-0.25,Sociedad B,0.7,2.1,1.7,0.42665066828890735,0.25
I1,2/10/2021,Salernitana,Genoa,1,0,Salernitana,Genoa,0,-1,2.87,3.3,2.45,0.0,Salernitana,-1,1.9,2.03,0.6015265379273789,-0.0
I1,2/10/2021,Torino,Juventus,0,1,Juventus,Torino,0,-1,4.5,3.5,1.8,0.5,Juventus,-1,1.92,2.01,0.3937583818149202,0.5
I1,2/10/2021,Sassuolo,Inter,1,2,Inter,Inter,1,0.7,4.33,4.2,1.7,0.75,Inter,0.365,2.08,1.73,0.6300667043595286,-0.75
I2,2/10/2021,Alessandria,Cosenza,1,0,Alessandria,Cosenza,0,-1,2.0,3.2,3.8,-0.25,Alessandria,-0.5,1.8,2.05,0.5310384637172314,0.25
I2,2/10/2021,Cremonese,Ternana,2,0,Cremonese,Cremonese,1,0.95,1.95,3.4,3.5,-0.25,Cremonese,0.8300000000000001,1.83,2.02,0.37804478216339327,-0.25
I2,2/10/2021,Crotone,Ascoli,2,2,Draw,Ascoli,0,-1,2.1,3.2,3.3,-0.75,Ascoli,0.4,2.0,1.8,0.549863362749377,0.75
I2,2/10/2021,Frosinone,Cittadella,0,1,Cittadella,Frosinone,0,-1,2.0,3.2,4.0,-0.5,Cittadella,-1,1.95,1.9,0.5435870770356349,-0.5
I2,2/10/2021,Pisa,Reggina,2,0,Pisa,Pisa,1,1.2000000000000002,2.2,3.1,3.2,-0.5,Pisa,0.98,1.98,1.88,0.470616853476918,-0.5
I2,2/10/2021,Spal,Parma,2,2,Draw,Parma,0,-1,2.2,3.1,3.2,0.0,Draw,0,1.77,2.02,0.43110445057538255,-0.0
F1,2/10/2021,Montpellier,Strasbourg,1,1,Draw,Strasbourg,0,-1,2.4,3.6,2.8,0.0,Draw,0,1.82,2.11,0.40830278700638717,-0.0
F1,2/10/2021,Nice,Brest,2,1,Nice,Nice,1,0.55,1.55,4.5,5.5,-1.0,Draw,0,1.89,2.04,0.7422274713807924,-1.0
F2,2/10/2021,Amiens,Toulouse,0,0,Draw,Toulouse,0,-1,4.5,3.5,1.8,0.5,Amiens,-1,1.88,1.98,0.638851221595836,-0.5
F2,2/10/2021,Auxerre,Nimes,2,2,Draw,Auxerre,0,-1,1.72,3.6,4.33,-0.75,Nimes,-0.5,1.93,1.93,0.5724646572024938,-0.75
F2,2/10/2021,Ajaccio,Quevilly Rouen,0,1,Quevilly Rouen,Ajaccio,0,-1,1.66,3.5,4.5,-0.75,Quevilly Rouen,-1,1.95,1.9,0.4654219906929236,-0.75
F2,2/10/2021,Caen,Valenciennes,1,2,Valenciennes,Caen,0,-1,2.0,3.3,3.6,-0.5,Valenciennes,-1,1.9,1.95,0.34710463005248093,-0.5
F2,2/10/2021,Dunkerque,Bastia,2,0,Dunkerque,Bastia,0,-1,3.1,2.8,2.4,0.25,Dunkerque,-1,1.9,1.95,0.49725501139187583,-0.25
F2,2/10/2021,Grenoble,Pau FC,2,0,Grenoble,Pau FC,0,-1,2.3,3.2,3.0,0.0,Grenoble,-1,1.85,2.0,0.41237854469415364,-0.0
F2,2/10/2021,Guingamp,Rodez,2,1,Guingamp,Rodez,0,-1,2.3,3.0,3.0,-0.25,Guingamp,-0.5,1.9,1.95,0.37853700125627143,0.25
F2,2/10/2021,Le Havre,Dijon,2,0,Le Havre,Le Havre,1,1.2999999999999998,2.3,3.25,2.87,-0.25,Le Havre,1.02,2.02,1.83,0.4925496478071692,-0.25
F2,2/10/2021,Paris FC,Nancy,1,1,Draw,Paris FC,0,-1,1.66,3.75,4.75,-0.75,Nancy,-0.5,1.73,2.08,0.58357603766993,-0.75
F2,2/10/2021,Sochaux,Niort,1,0,Sochaux,Draw,0,-1,1.66,3.5,4.75,-0.75,Sochaux,0,1.8,2.05,0.2376794743990667,0.75
B1,2/10/2021,Kortrijk,Charleroi,2,2,Draw,Kortrijk,0,-1,2.6,3.6,2.6,0.0,Draw,0,2.05,1.8,0.40448787730490254,0.0
B1,2/10/2021,Cercle Brugge,St. Gilloise,0,3,St. Gilloise,St. Gilloise,1,0.6599999999999999,5.0,4.0,1.66,0.75,St. Gilloise,1.0499999999999998,1.75,2.05,0.6084012739947066,-0.75
B1,2/10/2021,St Truiden,Oostende,1,1,Draw,St Truiden,0,-1,2.1,3.8,3.2,-0.5,Oostende,-1,1.95,1.9,0.4581171959250092,-0.5
B1,2/10/2021,Oud-Heverlee Leuven,Beerschot VA,0,0,Draw,Oud-Heverlee Leuven,0,-1,2.1,4.0,3.0,-0.5,Beerschot VA,-1,1.93,1.93,0.5714006343418381,-0.5
N1,2/10/2021,Waalwijk,Go Ahead Eagles,1,1,Draw,Waalwijk,0,-1,2.15,3.5,3.2,-0.25,Go Ahead Eagles,-0.5,1.94,1.96,0.4715498438652049,-0.25
N1,2/10/2021,Heracles,Willem II,3,2,Heracles,Willem II,0,-1,1.83,3.6,4.0,-0.5,Heracles,-1,1.75,2.05,0.5117756943106588,0.5
N1,2/10/2021,Zwolle,Heerenveen,0,1,Heerenveen,Heerenveen,1,1.37,2.8,3.4,2.37,0.0,Heerenveen,1.1,1.8,2.1,0.6160677657982027,-0.0
N1,2/10/2021,For Sittard,Nijmegen,1,3,Nijmegen,Nijmegen,1,1.9,2.37,3.5,2.9,0.0,Nijmegen,0.97,1.93,1.97,0.4405075143420077,-0.0
P1,2/10/2021,Vizela,Santa Clara,1,1,Draw,Vizela,0,-1,2.37,3.2,3.0,-0.25,Santa Clara,-0.5,2.1,1.8,0.43251186275921955,-0.25
P1,2/10/2021,Porto,Pacos Ferreira,2,1,Porto,Porto,1,0.25,1.25,5.5,12.0,-1.75,Pacos Ferreira,-0.5,2.02,1.77,0.6346994180781003,-1.75
P1,2/10/2021,Arouca,Sp Lisbon,1,2,Sp Lisbon,Sp Lisbon,1,0.3999999999999999,8.5,4.2,1.4,1.25,Arouca,-0.5,1.91,1.99,0.7283829638056867,-1.25
T1,2/10/2021,Konyaspor,Alanyaspor,1,1,Draw,Alanyaspor,0,-1,2.37,3.2,3.0,0.0,Draw,0,1.73,2.15,0.3668106258644345,-0.0
T1,2/10/2021,Goztep,Giresunspor,0,1,Giresunspor,Draw,0,-1,1.9,3.4,4.0,-0.25,Giresunspor,0,2.02,1.83,0.3057053252429698,0.25
T1,2/10/2021,Kayserispor,Trabzonspor,1,2,Trabzonspor,Kayserispor,0,-1,4.0,3.5,1.83,0.5,Trabzonspor,-1,1.8,2.05,0.3604266512301785,0.5
T1,2/10/2021,Besiktas,Sivasspor,2,1,Besiktas,Sivasspor,0,-1,1.83,3.5,4.0,-0.5,Besiktas,-1,2.1,1.77,0.41809957169031586,0.5
G1,2/10/2021,Volos NFC,Asteras Tripolis,2,1,Volos NFC,Volos NFC,1,1.7999999999999998,2.8,3.1,2.7,0.0,Volos NFC,0.98,1.98,1.88,0.5288151136014564,0.0
G1,2/10/2021,Aris,Apollon,0,0,Draw,Aris,0,-1,1.36,4.75,9.0,-1.0,Apollon,-1,1.77,2.02,0.5792206824460787,-1.0
E0,3/10/2021,Crystal Palace,Leicester,2,2,Draw,Crystal Palace,0,-1,3.1,3.4,2.3,0.0,Draw,0,2.03,1.9,0.43031135962783895,0.0
E0,3/10/2021,Tottenham,Aston Villa,2,1,Tottenham,Aston Villa,0,-1,2.1,3.6,3.4,-0.25,Tottenham,-0.5,1.84,2.09,0.6603876186914337,0.25
E0,3/10/2021,West Ham,Brentford,1,2,Brentford,Brentford,1,3.75,1.75,3.75,4.75,-0.75,Brentford,0.9199999999999999,2.01,1.92,0.40686049110071415,0.75
E0,3/10/2021,Liverpool,Man City,2,2,Draw,Man City,0,-1,2.87,3.5,2.4,0.25,Liverpool,-0.5,1.87,2.06,0.3640188243092541,-0.25
SC0,3/10/2021,Aberdeen,Celtic,1,2,Celtic,Celtic,1,0.55,6.5,4.0,1.55,0.75,Celtic,0.41500000000000004,2.02,1.83,0.5705946497229952,-0.75
SC0,3/10/2021,Rangers,Hibernian,2,1,Rangers,Rangers,1,0.3600000000000001,1.36,5.0,7.5,-1.25,Hibernian,-0.5,1.98,1.88,0.35925539845367876,-1.25
SC2,3/10/2021,Queens Park,Montrose,1,1,Draw,Queens Park,0,-1,1.8,3.4,3.75,-0.75,Montrose,-0.5,1.93,1.93,0.48376916760929994,-0.75
D1,3/10/2021,Mainz,Union Berlin,1,2,Union Berlin,Mainz,0,-1,2.05,3.5,3.6,-0.25,Union Berlin,-1,1.91,2.02,0.41494772717096695,-0.25
D1,3/10/2021,Bayern Munich,Ein Frankfurt,1,2,Ein Frankfurt,Bayern Munich,0,-1,1.16,8.0,15.0,-2.75,Ein Frankfurt,-1,1.83,1.98,0.6677123486970084,-2.75
D1,3/10/2021,Bielefeld,Leverkusen,0,4,Leverkusen,Leverkusen,1,0.6100000000000001,5.0,4.0,1.61,0.75,Leverkusen,0.8999999999999999,2.03,1.9,0.6596747533487626,-0.75
D2,3/10/2021,Sandhausen,Darmstadt,1,6,Darmstadt,Darmstadt,1,1.0,3.5,3.75,2.0,0.25,Darmstadt,0.98,1.88,1.98,0.5192452290771735,-0.25
D2,3/10/2021,Schalke 04,Ingolstadt,3,0,Schalke 04,Schalke 04,1,0.53,1.53,4.33,6.0,-1.25,Schalke 04,1.0499999999999998,2.05,1.8,0.7278168834141792,-1.25
D2,3/10/2021,St Pauli,Dresden,3,0,St Pauli,St Pauli,1,0.7,1.7,4.0,4.75,-0.75,St Pauli,1.0,2.0,1.85,0.42411311156364895,-0.75
SP1,3/10/2021,Elche,Celta,1,0,Elche,Celta,0,-1,3.3,3.2,2.3,0.25,Elche,-1,1.79,2.15,0.39525684857697657,-0.25
SP1,3/10/2021,Espanol,Real Madrid,2,1,Espanol,Real Madrid,0,-1,5.0,4.0,1.66,1.0,Espanol,-1,1.75,2.05,0.6671700768590121,-1.0
SP1,3/10/2021,Getafe,Sociedad,1,1,Draw,Sociedad,0,-1,3.6,3.1,2.2,0.25,Getafe,-0.5,1.84,2.09,0.6956122079094818,-0.25
SP1,3/10/2021,Villarreal,Betis,2,0,Villarreal,Villarreal,1,1.0,2.0,3.6,3.6,-0.5,Villarreal,1.02,2.02,1.91,0.36760182196685814,-0.5
SP1,3/10/2021,Granada,Sevilla,1,0,Granada,Sevilla,0,-1,4.8,3.4,1.72,0.75,Granada,-1,1.97,1.96,0.7079892732359464,-0.75
SP2,3/10/2021,Eibar,Ibiza,3,1,Eibar,Ibiza,0,-1,1.72,3.4,5.5,-0.5,Eibar,-1,1.9,1.95,0.4873307536211305,0.5
SP2,3/10/2021,Malaga,Fuenlabrada,1,0,Malaga,Fuenlabrada,0,-1,2.45,3.0,3.2,-0.25,Malaga,-0.5,2.1,1.77,0.46106693810383553,0.25
SP2,3/10/2021,Burgos,Mirandes,1,0,Burgos,Mirandes,0,-1,2.2,3.1,3.6,-0.25,Burgos,-0.5,1.77,2.1,0.4167983029832177,0.25
SP2,3/10/2021,Las Palmas,Cartagena,4,1,Las Palmas,Las Palmas,1,1.0,2.0,3.2,4.2,-0.5,Las Palmas,0.95,1.95,1.9,0.5003147074866158,-0.5
SP2,3/10/2021,Leganes,Lugo,1,1,Draw,Leganes,0,-1,1.57,3.6,7.0,-0.75,Lugo,-0.5,1.85,2.0,0.42692909487255193,-0.75
I1,3/10/2021,Bologna,Lazio,3,0,Bologna,Lazio,0,-1,3.1,3.6,2.2,0.25,Bologna,-1,1.84,2.09,0.5503264570629185,-0.25
I1,3/10/2021,Sampdoria,Udinese,3,3,Draw,Sampdoria,0,-1,2.1,3.5,3.5,-0.25,Udinese,-0.5,1.84,2.09,0.384163226309446,-0.25
I1,3/10/2021,Verona,Spezia,4,0,Verona,Verona,1,0.6499999999999999,1.65,4.0,5.25,-1.0,Verona,0.99,1.99,1.94,0.4080721836752629,-1.0
I1,3/10/2021,Fiorentina,Napoli,1,2,Napoli,Napoli,1,0.95,3.9,3.5,1.95,0.5,Napoli,1.06,1.87,2.06,0.6849779251174797,-0.5
I1,3/10/2021,Roma,Empoli,2,0,Roma,Roma,1,0.3999999999999999,1.4,5.0,7.0,-1.5,Roma,1.0699999999999998,2.07,1.86,0.49005934781516025,-1.5
I1,3/10/2021,Atalanta,Milan,2,3,Milan,Milan,1,2.4,2.05,3.75,3.4,-0.25,Milan,1.06,1.87,2.06,0.4841377412890098,0.25
I2,3/10/2021,Brescia,Como,2,4,Como,Brescia,0,-1,1.65,3.6,4.75,-1.0,Como,-1,1.93,1.93,0.6786259288499309,-1.0
