Date,Home,Away,HG,AG,Res,prediction,Hit?,odds,AvgH,AvgD,AvgA,Better,Asian_res,Asian_hit
30/6/2020,Lokomotiv Moscow,Krylya Sovetov,1,1,Draw,Lokomotiv Moscow,0,-1,1.44,4.41,6.9,Lokomotiv Moscow,Lokomotiv Moscow,1
30/6/2020,CSKA Moscow,Spartak Moscow,2,0,CSKA Moscow,Spartak Moscow,0,-1,2.3,3.25,3.12,CSKA Moscow,CSKA Moscow,0
1/7/2020,Ufa,Rubin Kazan,0,0,Draw,Draw,1,1.7999999999999998,2.58,2.8,3.12,Ufa,Ufa,-1
1/7/2020,Arsenal Tula,Akhmat Grozny,1,3,Akhmat Grozny,Akhmat Grozny,1,1.9500000000000002,2.47,3.1,2.95,Arsenal Tula,Akhmat Grozny,1
1/7/2020,Tambov,Zenit,1,2,Zenit,Zenit,1,0.27,9.84,5.74,1.27,Zenit,Zenit,1
1/7/2020,FK Rostov,Krasnodar,1,1,Draw,Krasnodar,0,-1,3.07,3.39,2.23,Krasnodar,Krasnodar,1
1/7/2020,Sochi,Dynamo Moscow,1,1,Draw,Sochi,0,-1,2.42,3.09,3.05,Sochi,Sochi,1
4/7/2020,Dynamo Moscow,Arsenal Tula,0,1,Arsenal Tula,Dynamo Moscow,0,-1,2.11,3.16,3.61,Dynamo Moscow,Draw,0
4/7/2020,Krylya Sovetov,FK Rostov,0,0,Draw,FK Rostov,0,-1,2.58,3.23,2.67,Krylya Sovetov,Krylya Sovetov,0
4/7/2020,Spartak Moscow,Tambov,2,3,Tambov,Tambov,1,4.26,1.63,3.81,5.26,Spartak Moscow,Draw,0
4/7/2020,Akhmat Grozny,CSKA Moscow,0,4,CSKA Moscow,CSKA Moscow,1,1.2599999999999998,3.28,3.14,2.26,CSKA Moscow,CSKA Moscow,1
4/7/2020,Lokomotiv Moscow,Sochi,0,0,Draw,Sochi,0,-1,1.97,3.49,3.71,Lokomotiv Moscow,Lokomotiv Moscow,0
5/7/2020,Ufa,Ural,1,1,Draw,Draw,1,1.83,2.55,2.83,3.13,Ufa,Ufa,-1
5/7/2020,Rubin Kazan,Orenburg,1,0,Rubin Kazan,Rubin Kazan,1,0.30000000000000004,1.3,5.42,9.9,Rubin Kazan,Rubin Kazan,1
5/7/2020,Krasnodar,Zenit,2,4,Zenit,Zenit,1,1.0899999999999999,3.4,3.42,2.09,Zenit,Zenit,1
7/7/2020,Tambov,Akhmat Grozny,1,2,Akhmat Grozny,Tambov,0,-1,2.97,3.1,2.47,Akhmat Grozny,Akhmat Grozny,0
7/7/2020,Arsenal Tula,Krylya Sovetov,2,4,Krylya Sovetov,Arsenal Tula,0,-1,2.2,3.19,3.38,Arsenal Tula,Krylya Sovetov,0
8/7/2020,Orenburg,CSKA Moscow,0,4,CSKA Moscow,CSKA Moscow,1,0.43999999999999995,6.66,4.56,1.44,CSKA Moscow,CSKA Moscow,1
8/7/2020,Zenit,Sochi,2,1,Zenit,Zenit,1,0.6699999999999999,1.67,4.21,4.41,Zenit,Zenit,1
8/7/2020,FK Rostov,Ufa,1,2,Ufa,Draw,0,-1,1.96,3.24,4.03,FK Rostov,Draw,-1
