Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,prediction,Hit?,odds,B365H,B365D,B365A,AHCh,AHh,AHCh_res,AHCh_odds,B365CAHH,B365CAHA,win%,AHCh_win
E3,28/1/2020,Plymouth,Crawley Town,2,2,Draw,Plymouth,0,-1,1.75,4,4.8,-0.75,-0.75,Crawley Town,-0.5,1.9,1.95,0.649647666,-0.75
E3,28/1/2020,Port Vale,Exeter,3,1,Port Vale,Exeter,0,-1,2.9,3.4,2.6,0,0,Port Vale,-1,2.1,1.77,0.569639188,0
E3,28/1/2020,Walsall,Morecambe,0,2,Morecambe,Walsall,0,-1,1.85,3.6,4.75,-0.5,-0.5,Morecambe,-1,1.88,1.98,0.56659245,-0.5
EC,28/1/2020,Eastleigh,Aldershot,0,0,Draw,Aldershot,0,-1,1.9,3.4,3.5,-0.5,-0.5,Aldershot,0.83,1.98,1.83,0.657995362,0.5
EC,28/1/2020,Ebbsfleet,Woking,2,1,Ebbsfleet,Woking,0,-1,3.25,3.25,2.1,0.25,0.25,Ebbsfleet,-1,1.85,1.95,0.480573123,-0.25
EC,28/1/2020,Halifax,Dover Athletic,4,2,Halifax,Dover Athletic,0,-1,2.5,3.4,2.55,0,0,Halifax,-1,1.85,1.95,0.39816432,0
EC,28/1/2020,Solihull,Barrow,0,0,Draw,Barrow,0,-1,2.9,3.4,2.2,0,0.25,Draw,0,1.95,1.85,0.555748813,0
D2,28/1/2020,Bielefeld,Bochum,2,0,Bielefeld,Bielefeld,1,0.72,1.72,3.8,4.5,-0.75,-0.75,Bielefeld,0.93,1.93,1.93,0.468975681,-0.75
D2,28/1/2020,Greuther Furth,St Pauli,3,0,Greuther Furth,St Pauli,0,-1,2.4,3.4,2.8,0,0,Greuther Furth,-1,2.1,1.77,0.409109931,0
D2,28/1/2020,Regensburg,Hannover,1,0,Regensburg,Regensburg,1,1.62,2.62,3.3,2.62,0.25,0,Regensburg,0.8,1.8,2.05,0.46963592,0.25
D2,28/1/2020,Wehen,Erzgebirge Aue,1,0,Wehen,Erzgebirge Aue,0,-1,2.5,3.25,2.8,0,0,Wehen,-1,1.88,1.98,0.444904983,0
P1,28/1/2020,Porto,Gil Vicente,2,1,Porto,Porto,1,0.25,1.25,5.25,13,-1.5,-1.5,Gil Vicente,-1,2.01,1.89,0.543120254,-1.5
E0,29/1/2020,West Ham,Liverpool,0,2,Liverpool,Liverpool,1,0.33,8.5,5.5,1.33,1.5,1.5,Liverpool,1.05,1.75,2.05,0.901219361,-1.5
E2,29/1/2020,Gillingham,Shrewsbury,2,0,Gillingham,Draw,0,-1,2.15,3.25,4,-0.5,-0.25,Gillingham,0,1.98,1.88,0.291783093,0.5
E2,29/1/2020,Tranmere,Sunderland,0,1,Sunderland,Sunderland,1,0.72,5.5,3.8,1.72,0.75,0.75,Sunderland,0.49,1.88,1.98,0.714947931,-0.75
SC0,29/1/2020,Rangers,Ross County,2,0,Rangers,Rangers,1,0.11,1.11,9,19,-2.75,-2.5,Ross County,-0.5,1.9,1.95,0.924684887,-2.75
SC0,29/1/2020,St Johnstone,Celtic,0,3,Celtic,Celtic,1,0.28,9,5.75,1.28,1.5,1.5,Celtic,0.98,1.88,1.98,0.812979761,-1.5
D2,29/1/2020,Stuttgart,Heidenheim,3,0,Stuttgart,Heidenheim,0,-1,1.55,4,5.75,-1,-1,Stuttgart,-1,1.93,1.93,0.533662228,1
D2,29/1/2020,Dresden,Karlsruhe,1,0,Dresden,Karlsruhe,0,-1,2.5,3.4,2.7,0,0,Dresden,-1,1.75,2.13,0.605521358,0
D2,29/1/2020,Holstein Kiel,Darmstadt,1,1,Draw,Darmstadt,0,-1,1.8,3.75,4.2,-0.5,-0.5,Darmstadt,1.02,1.83,2.02,0.393763983,0.5
D2,29/1/2020,Osnabruck,Sandhausen,1,3,Sandhausen,Osnabruck,0,-1,2.37,3.2,3,0,-0.25,Sandhausen,-1,1.77,2.1,0.446256213,0
B1,29/1/2020,Charleroi,Club Brugge,0,0,Draw,Club Brugge,0,-1,4.2,3.8,1.8,0.5,0.5,Charleroi,-1,1.75,2.05,0.422797976,-0.5
P1,29/1/2020,Moreirense,Sp Braga,1,2,Sp Braga,Sp Braga,1,0.57,6,3.8,1.57,1,1,Draw,0,1.91,1.99,0.595447405,-1
D2,30/1/2020,Hamburg,Nurnberg,4,1,Hamburg,Hamburg,1,0.5,1.5,4.33,6,-1,-1,Hamburg,0.85,1.85,2,0.542675686,-1
E1,31/1/2020,Cardiff,Reading,1,1,Draw,Reading,0,-1,2.1,3.4,3.5,-0.25,-0.25,Reading,0.495,1.91,1.99,0.366920915,0.25
E1,31/1/2020,Derby,Stoke,4,0,Derby,Stoke,0,-1,2.8,3.1,2.7,0.25,0,Derby,-1,1.77,2.14,0.554311542,-0.25
SC1,31/1/2020,Partick,Ayr,1,1,Draw,Ayr,0,-1,2.35,3.4,2.87,0,-0.25,Draw,0,1.8,2.05,0.509691502,0
D1,31/1/2020,Hertha,Schalke 04,0,0,Draw,Schalke 04,0,-1,2.7,3.4,2.6,0,0,Draw,0,2.11,1.82,0.466627902,0
D2,31/1/2020,Erzgebirge Aue,Bielefeld,0,0,Draw,Bielefeld,0,-1,3.75,3.5,1.95,0.25,0.5,Erzgebirge Aue,-0.5,2,1.85,0.498361367,-0.25
D2,31/1/2020,Regensburg,Greuther Furth,0,2,Greuther Furth,Greuther Furth,1,2.4,2.05,3.5,3.4,-0.25,-0.25,Greuther Furth,0.88,1.98,1.88,0.468656715,0.25
SP2,31/1/2020,Tenerife,Sp Gijon,2,1,Tenerife,Draw,0,-1,2.4,2.9,3.25,-0.25,-0.25,Tenerife,0,2.05,1.8,0.270945731,0.25
I2,31/1/2020,Cremonese,Pisa,3,4,Pisa,Draw,0,-1,1.75,3.25,5.25,-0.5,-0.5,Pisa,0,1.9,1.95,0.371147611,0.5
F1,31/1/2020,Rennes,Nantes,3,2,Rennes,Rennes,1,0.95,1.95,3,4.75,-0.5,-0.5,Rennes,0.96,1.96,1.97,0.414564808,-0.5
F2,31/1/2020,Ajaccio,Chateauroux,0,1,Chateauroux,Ajaccio,0,-1,1.6,3.6,6,-1,-0.75,Chateauroux,-1,2.05,1.8,0.635061363,-1
F2,31/1/2020,Chambly,Caen,0,1,Caen,Draw,0,-1,2.75,2.9,2.75,0,0,Caen,0,2.1,1.77,0.355962622,0
F2,31/1/2020,Clermont,Orleans,3,1,Clermont,Clermont,1,0.72,1.72,3.5,5.25,-0.75,-0.75,Clermont,1.02,2.02,1.83,0.511432016,-0.75
F2,31/1/2020,Guingamp,Auxerre,1,0,Guingamp,Auxerre,0,-1,2.1,3.25,3.5,-0.25,-0.25,Guingamp,-0.5,1.9,1.95,0.387196351,0.25
F2,31/1/2020,Le Havre,Lens,0,0,Draw,Lens,0,-1,2.62,3.1,2.75,0,0,Draw,0,1.93,1.93,0.388357917,0
F2,31/1/2020,Le Mans,Nancy,1,1,Draw,Nancy,0,-1,2.9,3.2,2.45,0,0,Draw,0,1.98,1.88,0.528684073,0
F2,31/1/2020,Niort,Paris FC,4,4,Draw,Draw,1,1.9,2.6,2.9,3,0,0,Draw,0,1.7,2.2,0.202570829,0
F2,31/1/2020,Rodez,Valenciennes,1,1,Draw,Valenciennes,0,-1,2.3,3.2,3.2,0,-0.25,Draw,0,1.8,2.05,0.565532437,0
F2,31/1/2020,Troyes,Grenoble,1,2,Grenoble,Troyes,0,-1,2,3.3,4,-0.5,-0.5,Grenoble,-1,2.02,1.83,0.392574983,-0.5
B1,31/1/2020,Kortrijk,Standard,3,1,Kortrijk,Standard,0,-1,4.2,3.75,1.8,0.5,0.5,Kortrijk,-1,1.77,2.02,0.472460638,-0.5
N1,31/1/2020,AZ Alkmaar,Waalwijk,4,0,AZ Alkmaar,AZ Alkmaar,1,0.12,1.12,9,17,-2.5,-2.5,AZ Alkmaar,0.87,1.87,2.03,0.853151932,-2.5
P1,31/1/2020,Benfica,Belenenses,3,2,Benfica,Benfica,1,0.1,1.1,9,23,-2.5,-2.5,Belenenses,-1,1.84,2.06,0.949870916,-2.5
P1,31/1/2020,Rio Ave,Famalicao,2,2,Draw,Rio Ave,0,-1,1.95,3.3,4,-0.5,-0.5,Famalicao,-1,1.97,1.93,0.524670556,-0.5
T1,31/1/2020,Buyuksehyr,Genclerbirligi,3,1,Buyuksehyr,Buyuksehyr,1,0.44,1.44,4.33,7,-1,-1.25,Buyuksehyr,0.85,1.85,2,0.657403463,-1
E0,1/2/2020,Leicester,Chelsea,2,2,Draw,Leicester,0,-1,2.5,3.6,2.7,0,0,Draw,0,1.91,2.02,0.488367814,0
E0,1/2/2020,Bournemouth,Aston Villa,2,1,Bournemouth,Aston Villa,0,-1,2.1,3.6,3.3,-0.25,-0.25,Bournemouth,-0.5,1.86,2.07,0.582521314,0.25
