Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,prediction,Hit?,odds,B365H,B365D,B365A,AHCh,AHCh_res,AHCh_odds,B365CAHH,B365CAHA,PredictH,PredictD,PredictA
E1,28/9/2019,Derby,Birmingham,3,2,Derby,Birmingham,0,-1,2.2,3.3,3.4,-0.25,Derby,-0.5,2.03,1.87,0.285243826,0.336451149,0.378305024
E1,28/9/2019,Huddersfield,Millwall,1,1,Draw,Millwall,0,-1,2.5,3.2,3,0,Draw,0,1.97,1.93,0.289035161,0.280961674,0.430003165
E1,28/9/2019,Hull,Cardiff,2,2,Draw,Hull,0,-1,2.5,3.25,2.9,-0.25,Cardiff,0,2.11,1.79,0.359481946,0.295898572,0.344619482
E1,28/9/2019,Middlesbrough,Sheffield Weds,1,4,Sheffield Weds,Sheffield Weds,1,2.25,2.4,3.1,3.25,0,Sheffield Weds,1,1.9,2,0.239442595,0.329280545,0.43127686
E1,28/9/2019,Preston,Bristol City,3,3,Draw,Preston,0,-1,2.05,3.5,3.6,-0.5,Bristol City,0,1.9,2,0.463849096,0.279901323,0.25624958
E1,28/9/2019,Swansea,Reading,1,1,Draw,Swansea,0,-1,1.85,3.5,4.33,-0.5,Reading,0,1.93,1.97,0.563614446,0.29957645,0.136809104
E2,28/9/2019,Bristol Rvs,Rotherham,1,0,Bristol Rvs,Bristol Rvs,1,1.8,2.8,3.5,2.6,0,Bristol Rvs,1.1,2.1,1.77,0.409292453,0.306287114,0.284420433
E2,28/9/2019,Coventry,Doncaster,1,1,Draw,Doncaster,0,-1,2.25,3.4,3.5,-0.25,Doncaster,0,1.93,1.93,0.250257541,0.322833276,0.426909184
E2,28/9/2019,Ipswich,Tranmere,4,1,Ipswich,Ipswich,1,0.61,1.61,4.2,6,-1,Ipswich,1.07,2.07,1.72,0.702296114,0.211788897,0.08591499
E2,28/9/2019,Oxford,Gillingham,3,0,Oxford,Gillingham,0,-1,1.9,3.75,4.2,-0.75,Oxford,-1,1.98,1.88,0.351387672,0.269328178,0.379284151
E2,28/9/2019,Peterboro,AFC Wimbledon,3,2,Peterboro,Peterboro,1,0.53,1.53,4.5,6.5,-1,Draw,0,1.8,2.05,0.71149545,0.174950556,0.113553994
E2,28/9/2019,Portsmouth,Bolton,1,0,Portsmouth,Portsmouth,1,0.28,1.28,5.5,10,-1.75,Bolton,-0.5,1,1,0.674846486,0.217354893,0.107798621
E2,28/9/2019,Rochdale,Wycombe,0,3,Wycombe,Wycombe,1,1.45,3,3.5,2.45,0.25,Wycombe,1.05,1.8,2.05,0.25453713,0.342454438,0.403008432
E2,28/9/2019,Shrewsbury,Fleetwood Town,0,3,Fleetwood Town,Fleetwood Town,1,1.45,3,3.5,2.45,0.25,Fleetwood Town,1.05,1.75,2.05,0.261238973,0.274104342,0.464656685
E2,28/9/2019,Southend,Accrington,0,1,Accrington,Accrington,1,1.4,3,3.6,2.4,0.25,Accrington,0.49,1.88,1.98,0.321798728,0.212420471,0.465780801
E2,28/9/2019,Sunderland,Milton Keynes Dons,2,1,Sunderland,Sunderland,1,0.66,1.66,3.8,6,-0.75,Sunderland,0.375,1.75,2.05,0.378116294,0.301776091,0.320107616
E3,28/9/2019,Carlisle,Oldham,1,0,Carlisle,Oldham,0,-1,2.4,3.4,3.2,0,Carlisle,-1,1.88,1.98,0.305573668,0.232859595,0.461566737
E3,28/9/2019,Cheltenham,Crewe,1,1,Draw,Cheltenham,0,-1,3.1,3.5,2.37,0.25,Cheltenham,0,1.85,2,0.429083448,0.254684783,0.316231769
